Date, Open, High, Low, Close
06/12/20, 9097.28, 9232.28, 8855.12, 9081.90
06/11/20, 9230.64, 9230.64, 8820.63, 8839.36
06/10/20, 9753.62, 9762.37, 9521.06, 9579.07
06/09/20, 9882.76, 9882.76, 9705.14, 9825.57
06/08/20, 9966.04, 10096.18, 9944.70, 10052.85
06/05/20, 9927.86, 10075.43, 9840.40, 9872.96
06/04/20, 9451.33, 9613.53, 9401.94, 9575.25
06/03/20, 9275.32, 9478.11, 9270.92, 9440.77
06/02/20, 9060.63, 9169.67, 9028.83, 9134.88
06/01/20, 8962.59, 9025.72, 8884.89, 8965.91
05/29/20, 8927.74, 9022.88, 8875.31, 8969.79
05/28/20, 9181.82, 9187.40, 8967.29, 9005.43
05/27/20, 9042.23, 9162.59, 8939.97, 9151.39
05/26/20, 8686.39, 8958.37, 8686.39, 8895.61
05/22/20, 8464.94, 8496.77, 8374.91, 8470.09
05/21/20, 8469.92, 8536.93, 8401.20, 8452.85
05/20/20, 8380.96, 8594.50, 8380.96, 8488.98
05/19/20, 8336.10, 8424.91, 8227.80, 8228.93
05/18/20, 8015.50, 8366.34, 8015.50, 8322.86
05/15/20, 7778.78, 7869.53, 7716.94, 7761.00
05/14/20, 7715.17, 7866.04, 7505.28, 7861.34
05/13/20, 7962.10, 7967.21, 7744.56, 7823.80
05/12/20, 8249.43, 8277.07, 7999.48, 8000.55
05/11/20, 8262.70, 8310.93, 8165.56, 8234.18
05/08/20, 8146.20, 8347.86, 8146.20, 8332.50
05/07/20, 8012.69, 8167.64, 8012.69, 8050.59
05/06/20, 8087.95, 8094.89, 7920.08, 7931.83
05/05/20, 8091.24, 8188.48, 8027.44, 8047.30
05/04/20, 8040.02, 8040.02, 7863.56, 7980.96
05/01/20, 8253.25, 8253.25, 8081.09, 8144.86
04/30/20, 8515.33, 8515.33, 8360.91, 8377.08
04/29/20, 8580.81, 8697.49, 8552.97, 8628.62
04/28/20, 8461.39, 8502.44, 8321.40, 8407.32
04/27/20, 8193.52, 8381.45, 8145.63, 8317.42
04/24/20, 8032.56, 8112.80, 7925.71, 8092.40
04/23/20, 7957.06, 8093.42, 7915.78, 7951.66
04/22/20, 7956.18, 8007.07, 7814.49, 7840.59
04/21/20, 7820.41, 7906.82, 7762.43, 7844.37
04/20/20, 8133.11, 8162.22, 7894.84, 7969.73
04/17/20, 8158.56, 8287.67, 8114.00, 8233.81
04/16/20, 7976.29, 8003.37, 7803.37, 7981.93
04/15/20, 8058.21, 8066.83, 7888.94, 8003.23
04/14/20, 8188.28, 8301.01, 8118.10, 8177.69
04/13/20, 8259.69, 8259.69, 7994.69, 8036.98
04/09/20, 8290.63, 8425.45, 8106.62, 8236.92
04/08/20, 8036.24, 8196.62, 7942.64, 8152.39
04/07/20, 8090.60, 8220.22, 7846.24, 7865.49
04/06/20, 7569.12, 7874.99, 7569.12, 7837.69
04/03/20, 7413.98, 7488.40, 7229.00, 7305.31
04/02/20, 7270.52, 7465.97, 7209.95, 7445.71
04/01/20, 7404.09, 7512.08, 7284.82, 7352.58
03/31/20, 7758.74, 7862.56, 7647.13, 7732.32
03/30/20, 7675.83, 7857.27, 7561.47, 7790.91
03/27/20, 7851.69, 7891.36, 7563.67, 7699.18
03/26/20, 7872.57, 8085.58, 7752.95, 8045.47
03/25/20, 7650.23, 8148.98, 7467.65, 7724.87
03/24/20, 7124.20, 7567.06, 7094.14, 7540.80
03/23/20, 6816.66, 6890.23, 6504.56, 6703.63
03/20/20, 7152.64, 7418.91, 6799.38, 6837.72
03/19/20, 6938.85, 7324.23, 6743.07, 7078.73
03/18/20, 7215.94, 7215.94, 6481.20, 6971.44
03/17/20, 7125.27, 7617.70, 6905.10, 7468.23
03/16/20, 7574.15, 7574.15, 6996.32, 7023.44
03/13/20, 7466.59, 7940.49, 7329.17, 7939.40
